,Leonato,Benedick,Beatrice,Donpedro,Claudio,Dogberry,Borachio,Hero,Friarfrancis,Donjohn,Ursula,Margaret,Leonatosbrother,Balthasar,Conrade,Verges,Sexton,Messengers Leonato 1,Watchmen 1,Watchmen Seacoal,Antonio,Messengers Donpedro 1,Musicians,Watchmen 2,Attendants 0 1,Boy,Attendants
Leonato,0.0,1444.0,1295.0,1593.0,1593.0,426.0,338.0,1423.0,899.0,252.0,308.0,308.0,1512.0,105.0,338.0,426.0,338.0,301.0,338.0,338.0,0.0,0.0,0.0,338.0,0.0,0.0,752.0
Benedick,1597.0,489.0,1421.0,2062.0,2066.0,0.0,70.0,1264.0,651.0,251.0,423.0,714.0,525.0,309.0,0.0,0.0,0.0,153.0,0.0,0.0,70.0,21.0,0.0,0.0,0.0,384.0,529.0
Beatrice,1845.0,1253.0,96.0,809.0,809.0,0.0,216.0,1998.0,169.0,368.0,929.0,1082.0,929.0,356.0,0.0,0.0,0.0,506.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,169.0
Donpedro,1934.0,1891.0,509.0,0.0,2906.0,156.0,205.0,850.0,161.0,361.0,63.0,63.0,182.0,386.0,161.0,156.0,33.0,158.0,161.0,161.0,44.0,0.0,51.0,161.0,0.0,0.0,212.0
Claudio,1434.0,1684.0,710.0,2223.0,97.0,122.0,144.0,732.0,741.0,597.0,123.0,123.0,256.0,39.0,128.0,122.0,72.0,0.0,128.0,128.0,0.0,0.0,105.0,128.0,0.0,0.0,846.0
Dogberry,515.0,0.0,0.0,323.0,323.0,0.0,835.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,835.0,1911.0,474.0,0.0,1517.0,1517.0,0.0,0.0,0.0,1517.0,0.0,0.0,0.0
Borachio,55.0,0.0,0.0,215.0,241.0,250.0,0.0,0.0,0.0,492.0,0.0,0.0,55.0,0.0,799.0,250.0,73.0,0.0,678.0,678.0,0.0,0.0,0.0,678.0,0.0,0.0,0.0
Hero,318.0,283.0,873.0,227.0,227.0,0.0,62.0,0.0,221.0,141.0,912.0,385.0,137.0,62.0,0.0,0.0,0.0,8.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,221.0
Friarfrancis,710.0,710.0,693.0,94.0,94.0,0.0,0.0,693.0,0.0,55.0,48.0,48.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0
Donjohn,96.0,96.0,96.0,423.0,521.0,0.0,377.0,96.0,80.0,0.0,0.0,0.0,0.0,16.0,424.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
Ursula,95.0,148.0,436.0,95.0,95.0,0.0,95.0,390.0,0.0,95.0,0.0,133.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
Margaret,48.0,120.0,334.0,48.0,48.0,0.0,48.0,588.0,0.0,48.0,59.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonatosbrother,488.0,20.0,38.0,263.0,263.0,0.0,11.0,38.0,20.0,0.0,38.0,38.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Balthasar,222.0,222.0,11.0,222.0,222.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Conrade,0.0,0.0,0.0,0.0,0.0,58.0,182.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,58.0,26.0,0.0,175.0,175.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0
Verges,65.0,0.0,0.0,13.0,13.0,228.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,32.0,0.0,156.0,156.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0
Sexton,0.0,0.0,0.0,0.0,0.0,127.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,0.0,0.0,127.0,127.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0
Messengers Leonato 1,248.0,0.0,233.0,0.0,0.0,15.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Watchmen 1,0.0,0.0,0.0,0.0,0.0,69.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,69.0,42.0,0.0,0.0,124.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0
Watchmen Seacoal,0.0,0.0,0.0,0.0,0.0,90.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,90.0,23.0,0.0,133.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0
Antonio,25.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Messengers Donpedro 1,20.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Musicians,0.0,0.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
Watchmen 2,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants 0 1,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0
Boy,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
