,Chorus,SERVANTS.CAPULET.Gregory,SERVANTS.MONTAGUE.Abram,SERVANTS.MONTAGUE.1,Benvolio,SERVANTS.CAPULET.Sampson,Tybalt,Montague,LadyMontague,Romeo,SERVANTS.CAPULET.X.1,ATTENDANTS,Mercutio,Boy,MASKERS,Juliet,GUESTS,Capulet,Nurse,SERVANTS.CAPULET,LadyCapulet,Cousin,SERVANTS.CAPULET.Peter,SERVANTS.MONTAGUE,Petruchio,CITIZENS,SERVANTS,PrinceEscalus,SERVANTS.TYBALT.1,Paris,MUSICIANS,FriarLawrence,SERVANTS.PARIS.1,WATCHMEN.0.2,WATCHMEN,SERVANTS.MONTAGUE.Balthasar,ATTENDANTS.PRINCE,WATCHMEN.0.3,SERVANTS.CAPULET.X.2,Apothecary,FriarJohn
Chorus,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.CAPULET.Sampson,0.0,340.0,156.0,156.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.CAPULET.Gregory,0.0,0.0,66.0,66.0,16.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.MONTAGUE.Abram,0.0,39.0,0.0,39.0,4.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benvolio,0.0,44.0,44.0,44.0,0.0,44.0,388.0,515.0,515.0,737.0,76.0,130.0,458.0,130.0,130.0,12.0,12.0,272.0,21.0,58.0,272.0,12.0,9.0,140.0,46.0,266.0,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tybalt,0.0,51.0,51.0,51.0,350.0,51.0,0.0,0.0,0.0,243.0,0.0,159.0,285.0,159.0,159.0,159.0,159.0,159.0,159.0,285.0,159.0,159.0,0.0,126.0,126.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS,0.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capulet,0.0,34.0,34.0,34.0,635.0,34.0,560.0,59.0,20.0,691.0,328.0,601.0,601.0,601.0,601.0,1977.0,601.0,0.0,1807.0,805.0,2359.0,601.0,0.0,0.0,0.0,34.0,0.0,90.0,269.0,945.0,190.0,280.0,90.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0
LadyCapulet,0.0,15.0,15.0,15.0,134.0,15.0,134.0,119.0,119.0,51.0,0.0,0.0,0.0,0.0,0.0,1003.0,0.0,378.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,119.0,170.0,0.0,127.0,56.0,107.0,51.0,51.0,51.0,51.0,51.0,51.0,15.0,0.0,0.0
Montague,0.0,14.0,14.0,14.0,291.0,14.0,40.0,0.0,291.0,125.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,142.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,40.0,26.0,128.0,0.0,102.0,0.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0
LadyMontague,0.0,13.0,13.0,13.0,37.0,13.0,13.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrinceEscalus,0.0,199.0,199.0,199.0,347.0,199.0,347.0,670.0,347.0,363.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,694.0,0.0,0.0,694.0,0.0,0.0,0.0,0.0,347.0,148.0,0.0,0.0,363.0,0.0,363.0,363.0,363.0,363.0,363.0,562.0,363.0,0.0,0.0,0.0
Romeo,0.0,0.0,0.0,0.0,1970.0,0.0,338.0,0.0,0.0,446.0,183.0,589.0,975.0,589.0,589.0,2580.0,278.0,278.0,701.0,412.0,278.0,278.0,284.0,153.0,134.0,0.0,0.0,0.0,117.0,832.0,0.0,1011.0,353.0,0.0,0.0,1136.0,0.0,0.0,0.0,237.0,0.0
Paris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,40.0,0.0,0.0,0.0,0.0,616.0,0.0,147.0,67.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,297.0,298.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.CAPULET.X.1,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,98.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nurse,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,925.0,0.0,61.0,149.0,61.0,61.0,2080.0,61.0,210.0,0.0,61.0,891.0,61.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,84.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juliet,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,1725.0,0.0,82.0,82.0,82.0,82.0,1106.0,82.0,240.0,1797.0,82.0,768.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,681.0,28.0,0.0,28.0,145.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.CAPULET.X.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercutio,0.0,0.0,0.0,0.0,2617.0,0.0,246.0,0.0,0.0,1943.0,0.0,672.0,0.0,672.0,672.0,0.0,0.0,0.0,187.0,246.0,0.0,0.0,187.0,727.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.CAPULET.0.1,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,94.0,0.0,94.0,94.0,94.0,94.0,15.0,0.0,62.0,47.0,156.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.CAPULET.0.2,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0,25.0,22.0,0.0,22.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.CAPULET.0.3,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cousin,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,29.0,0.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.CAPULET.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FriarLawrence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,2135.0,0.0,0.0,0.0,0.0,0.0,1731.0,0.0,680.0,745.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,1059.0,252.0,310.0,428.0,428.0,428.0,714.0,428.0,428.0,0.0,0.0,97.0
SERVANTS.CAPULET.Peter,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,3.0,0.0,0.0,258.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petruchio,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.0.1,0.0,0.0,0.0,0.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSICIANS.0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,28.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSICIANS.0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSICIANS.0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.MONTAGUE.Balthasar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,199.0,0.0,162.0,98.0,61.0,61.0,0.0,61.0,61.0,0.0,0.0,0.0
Apothecary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FriarJohn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.PARIS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,51.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,98.0,0.0,51.0,0.0,51.0,64.0,78.0,51.0,51.0,0.0,0.0,0.0
WATCHMEN.0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,188.0,0.0,61.0,188.0,73.0,188.0,188.0,50.0,61.0,0.0,0.0,0.0
WATCHMEN.0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0
WATCHMEN.0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0
