,Hostess,Sly,Lord,SERVANTS.LORD,SERVANTS.LORD.0,Page,Messenger,HUNTSMEN,SERVANTS.LORD.0.1,PLAYERS,Tranio,Gremio,Baptista,Bianca,Katherine,Hortensio,Biondello,Grumio,Petruchio,SERVANTS.BAPTISTA.1,SERVANTS.BAPTISTA,SERVANTS.PETRUCHIO.0.2,Officer,SERVANTS.PETRUCHIO,Vincentio,Merchant,SERVANTS,Widow,Lucentio,SERVANTS.PETRUCHIO.Peter,Haberdasher,Tailor,SERVANTS.PETRUCHIO.Phillip,Curtis,SERVANTS.PETRUCHIO.Joseph,SERVANTS.PETRUCHIO.Nicholas,SERVANTS.PETRUCHIO.Nathaniel
Sly,65.0,31.0,580.0,580.0,247.0,247.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hostess,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lord,0.0,795.0,0.0,1316.0,18.0,18.0,0.0,499.0,521.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNTSMEN.0.1,0.0,51.0,51.0,51.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNTSMEN.0.2,0.0,38.0,38.0,38.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNTSMEN.0.3,0.0,45.0,45.0,45.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.LORD.0.1,0.0,160.0,175.0,175.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAYERS,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAYERS.0.1,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAYERS.0.2,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.LORD.0.2,0.0,131.0,131.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.LORD.0.3,0.0,124.0,124.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lord SERVANTS.LORD,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Page,0.0,178.0,178.0,178.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Messenger,0.0,73.0,73.0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucentio,0.0,1841.0,1841.0,1841.0,1841.0,1841.0,0.0,0.0,0.0,0.0,1284.0,503.0,393.0,704.0,307.0,709.0,474.0,350.0,417.0,13.0,107.0,526.0,107.0,107.0,342.0,248.0,248.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tranio,0.0,3052.0,3052.0,3052.0,3052.0,3052.0,0.0,0.0,0.0,0.0,0.0,1290.0,1052.0,535.0,261.0,787.0,1463.0,622.0,783.0,0.0,350.0,1159.0,15.0,128.0,172.0,864.0,44.0,0.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baptista,0.0,1763.0,1763.0,1763.0,1763.0,1763.0,0.0,0.0,0.0,0.0,1606.0,1475.0,0.0,738.0,588.0,804.0,879.0,252.0,794.0,0.0,452.0,400.0,78.0,107.0,207.0,349.0,111.0,17.0,1195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gremio,0.0,1702.0,1702.0,1702.0,1702.0,1702.0,0.0,0.0,0.0,0.0,1335.0,0.0,749.0,124.0,211.0,870.0,260.0,545.0,705.0,0.0,109.0,152.0,94.0,108.0,117.0,90.0,34.0,11.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katherine,0.0,2235.0,2235.0,2235.0,2235.0,2235.0,0.0,0.0,0.0,0.0,990.0,990.0,1026.0,947.0,0.0,1228.0,504.0,729.0,1561.0,0.0,297.0,1289.0,58.0,292.0,591.0,504.0,504.0,481.0,936.0,12.0,137.0,165.0,0.0,0.0,0.0,0.0,0.0
Hortensio,0.0,2061.0,2061.0,2061.0,2061.0,2061.0,0.0,0.0,0.0,0.0,945.0,862.0,358.0,573.0,257.0,0.0,394.0,948.0,1189.0,0.0,0.0,593.0,0.0,56.0,169.0,140.0,140.0,48.0,1169.0,0.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0
Bianca,0.0,723.0,723.0,723.0,723.0,723.0,0.0,0.0,0.0,0.0,195.0,143.0,143.0,0.0,297.0,507.0,83.0,74.0,96.0,12.0,23.0,161.0,13.0,13.0,96.0,83.0,83.0,83.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biondello,0.0,1031.0,1031.0,1031.0,1031.0,1031.0,0.0,0.0,0.0,0.0,670.0,632.0,482.0,499.0,134.0,60.0,0.0,194.0,194.0,0.0,424.0,551.0,25.0,134.0,179.0,128.0,45.0,0.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petruchio,0.0,6073.0,6073.0,6073.0,6073.0,6073.0,0.0,0.0,0.0,0.0,2294.0,2610.0,2195.0,865.0,3843.0,3452.0,1580.0,3236.0,0.0,0.0,623.0,2668.0,61.0,753.0,956.0,629.0,629.0,242.0,1754.0,475.0,109.0,436.0,343.0,343.0,343.0,343.0,343.0
Grumio,0.0,1879.0,1879.0,1879.0,1879.0,1879.0,0.0,0.0,0.0,0.0,16.0,81.0,16.0,16.0,484.0,752.0,0.0,0.0,920.0,0.0,16.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,158.0,0.0,273.0,153.0,805.0,153.0,153.0,158.0
Grumio Biondello,0.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gremio Tranio,0.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.BAPTISTA.1,0.0,27.0,27.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtis,0.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
SERVANTS.PETRUCHIO.Nathaniel,0.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0
SERVANTS.PETRUCHIO.Phillip,0.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0
SERVANTS.PETRUCHIO.Joseph,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0
SERVANTS.PETRUCHIO.Nicholas,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0
SERVANTS.PETRUCHIO.Nathaniel SERVANTS.PETRUCHIO.Phillip SERVANTS.PETRUCHIO.Joseph SERVANTS.PETRUCHIO.Nicholas SERVANTS.PETRUCHIO.Peter,0.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0
SERVANTS.PETRUCHIO.0.4,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.PETRUCHIO.Peter,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,3.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Merchant,0.0,520.0,520.0,520.0,520.0,520.0,0.0,0.0,0.0,0.0,390.0,173.0,185.0,0.0,173.0,0.0,290.0,173.0,173.0,0.0,43.0,520.0,10.0,173.0,173.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haberdasher,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Tailor,0.0,146.0,146.0,146.0,146.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,146.0,0.0,146.0,146.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vincentio,0.0,460.0,460.0,460.0,460.0,460.0,0.0,0.0,0.0,0.0,201.0,372.0,266.0,86.0,460.0,109.0,67.0,362.0,460.0,0.0,245.0,460.0,86.0,439.0,0.0,201.0,21.0,21.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Widow,0.0,98.0,98.0,98.0,98.0,98.0,0.0,0.0,0.0,0.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,58.0,98.0,0.0,0.0,98.0,0.0,0.0,98.0,98.0,98.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
